date;close;open;high;low
16/4/2004;1134.6;1128.8;1136.8;1126.8
15/4/2004;1128.8;1128.2;1134.1;1120.8
14/4/2004;1128.2;1129.4;1132.5;1122.2
13/4/2004;1129.4;1145.2;1147.8;1127.7
12/4/2004;1145.2;1139.3;1147.3;1139.3
8/4/2004;1139.3;1140.5;1149;1134.5
7/4/2004;1140.5;1148.2;1148.2;1138.4
6/4/2004;1148.2;1150.6;1150.6;1143.3
5/4/2004;1150.6;1141.8;1150.6;1141.6
2/4/2004;1141.8;1132.2;1144.8;1132.2
1/4/2004;1132.2;1126.2;1135.7;1126.2
31/3/2004;1126.2;1127;1130.8;1121.5
30/3/2004;1127;1122.5;1127.6;1119.7
29/3/2004;1122.5;1108.1;1124.4;1108.1
26/3/2004;1108.1;1109.2;1115.3;1106.1
25/3/2004;1109.2;1091.3;1110.4;1091.3
24/3/2004;1091.3;1094;1098.4;1087.1
23/3/2004;1094;1095.4;1101.5;1091.6
22/3/2004;1095.4;1109.8;1109.8;1089.5
19/3/2004;1109.8;1122.3;1122.7;1109.7
18/3/2004;1122.3;1123.8;1125.5;1113.2
17/3/2004;1123.8;1110.7;1125.8;1110.7
16/3/2004;1110.7;1104.5;1113.8;1102.6
15/3/2004;1104.5;1120.6;1120.6;1103.4
12/3/2004;1120.6;1106.8;1120.6;1106.8
11/3/2004;1106.8;1123.9;1126;1105.9
10/3/2004;1123.9;1140.6;1141.5;1122.5
9/3/2004;1140.6;1147.2;1147.3;1136.8
8/3/2004;1147.2;1156.9;1159.9;1147
5/3/2004;1156.9;1154.9;1163.2;1148.7
4/3/2004;1154.9;1151;1155;1149.8
3/3/2004;1151;1149.1;1152.4;1143.8
2/3/2004;1149.1;1156;1156.5;1147.3
1/3/2004;1156;1144.9;1157.5;1144.9
27/2/2004;1144.9;1145.8;1151.7;1141.8
26/2/2004;1144.9;1143.7;1147.2;1138.6
25/2/2004;1143.7;1139.1;1145.2;1138.7
24/2/2004;1139.1;1141;1144.5;1134.4
23/2/2004;1141;1144.1;1146.7;1137
20/2/2004;1144.1;1147.1;1149.8;1139
19/2/2004;1147.1;1151.8;1158.6;1146.8
18/2/2004;1151.8;1157;1157.4;1149.4
17/2/2004;1157;1145.8;1159;1145.8
13/2/2004;1145.8;1152.1;1156.9;1143.2
12/2/2004;1152.1;1157.8;1157.8;1151.4
11/2/2004;1157.8;1145.5;1158.9;1142.3
10/2/2004;1145.5;1139.8;1147;1138.7
9/2/2004;1139.8;1142.8;1144.5;1139.2
6/2/2004;1142.8;1128.6;1142.8;1128.4
5/2/2004;1128.6;1126.5;1131.2;1124.4
4/2/2004;1126.5;1136;1136;1124.7
3/2/2004;1136;1135.3;1137.4;1131.3
2/2/2004;1135.3;1131.1;1142.6;1127.9
30/1/2004;1131.1;1134.1;1134.2;1127.7
29/1/2004;1134.1;1128.5;1134.4;1122.4
28/1/2004;1128.5;1144;1149.1;1126.5
27/1/2004;1144;1155.4;1155.4;1144
26/1/2004;1155.4;1141.5;1155.4;1141
23/1/2004;1141.5;1143.9;1150.3;1136.8
22/1/2004;1143.9;1147.6;1150.5;1143
21/1/2004;1147.6;1138.8;1149.2;1134.6
20/1/2004;1138.8;1139.8;1142.9;1135.4
16/1/2004;1139.8;1132;1139.8;1132
15/1/2004;1132;1130.5;1137.1;1124.5
14/1/2004;1130.5;1121.2;1130.8;1121.2
13/1/2004;1121.2;1127.2;1129.1;1115.2
12/1/2004;1127.2;1121.9;1127.8;1120.9
9/1/2004;1121.9;1131.9;1131.9;1120.9
8/1/2004;1131.9;1126.3;1131.9;1124.9
7/1/2004;1126.3;1123.7;1126.3;1116.5
6/1/2004;1123.7;1122.2;1124.5;1118.4
5/1/2004;1122.2;1108.5;1122.2;1108.5
2/1/2004;1108.5;1111.9;1118.8;1105.1
31/12/2003;1111.9;1109.6;1112.6;1106.2
30/12/2003;1109.6;1109.5;1109.8;1106.4
29/12/2003;1109.5;1095.9;1109.5;1095.9
26/12/2003;1095.9;1094;1098.5;1094
24/12/2003;1094;1096;1096.4;1092.7
23/12/2003;1096;1092.9;1097;1091.7
22/12/2003;1092.9;1088.7;1092.9;1086.1
19/12/2003;1088.7;1089.2;1091.1;1084.2
18/12/2003;1089.2;1076.5;1089.5;1076.5
17/12/2003;1076.5;1075.1;1076.5;1071.1
16/12/2003;1075.1;1068;1075.9;1068
15/12/2003;1068;1074.1;1082.8;1068
12/12/2003;1074.1;1071.2;1074.8;1067.6
11/12/2003;1071.2;1059;1073.6;1059
10/12/2003;1059;1060.2;1063;1053.4
9/12/2003;1060.2;1069.3;1071.9;1059.2
8/12/2003;1069.3;1061.5;1069.6;1060.9
5/12/2003;1061.5;1069.7;1069.7;1060.1
4/12/2003;1069.7;1064.7;1070.4;1063.2
3/12/2003;1064.7;1066.6;1074.3;1064.6
2/12/2003;1066.6;1070.1;1071.2;1065.2
1/12/2003;1070.1;1058.2;1070.5;1058.2
28/11/2003;1058.2;1058.5;1060.6;1056.8
